customer_id,income,education,employment_status,loan_default,city
1001,105976.65574070308,Bachelor,Employed,0,New York
1002,40711.51471497053,Bachelor,Employed,0,Los Angeles
1003,29886.60037241321,Master,Employed,0,New York
1004,65887.00413842135,Bachelor,Employed,0,Houston
1005,49061.92072327081,Bachelor,Unemployed,0,New York
1006,49037.32322239093,Bachelor,Employed,0,Chicago
1007,39486.578048756564,PhD,Self-Employed,0,New York
1008,45741.23761953635,Master,Self-Employed,1,New York
1009,33193.45594512165,Bachelor,Unemployed,0,Phoenix
1010,65854.5982472617,Bachelor,Unemployed,1,New York
1011,82626.9092596486,Bachelor,Employed,0,Houston
1012,32815.52495247553,Master,Unemployed,1,Los Angeles
1013,75534.96205087341,High School,Self-Employed,0,New York
1014,103473.79012010859,Bachelor,Employed,0,Phoenix
1015,41205.7516386343,Bachelor,Employed,0,New York
1016,19510.003972359256,Bachelor,Employed,0,Houston
1017,44874.378233994794,High School,Employed,0,New York
1018,29943.512132598153,Master,Employed,0,Houston
1019,23153.847407745532,Bachelor,Employed,0,New York
1020,45680.00833992836,Bachelor,Employed,0,Los Angeles
1021,35022.38255789478,Bachelor,Employed,0,Chicago
1022,60723.03640088128,PhD,Self-Employed,0,Phoenix
1023,51529.62439133233,Bachelor,Employed,0,Phoenix
1024,66136.7748677755,Master,Employed,0,Houston
1025,133297.3162073093,High School,Employed,0,Houston
1026,107365.38418375196,Bachelor,Employed,0,New York
1027,21342.12451921407,Bachelor,Self-Employed,0,New York
1028,46346.65699378961,Bachelor,Employed,0,New York
1029,18046.607674470928,High School,Employed,0,Los Angeles
1030,74508.88090418442,Master,Employed,0,Los Angeles
1031,117338.03351505558,High School,Employed,0,Los Angeles
1032,13658.063273753101,High School,Self-Employed,0,New York
1033,48554.90962154138,Bachelor,Employed,0,Chicago
1034,49626.65459420433,PhD,Employed,0,New York
1035,43402.69380058854,Master,Employed,0,Los Angeles
1036,9223.269827886506,Bachelor,Employed,0,Los Angeles
1037,43844.274006790176,PhD,Employed,0,Houston
1038,68010.98423601691,High School,Employed,0,Chicago
1039,35289.04788115513,High School,Employed,0,Chicago
1040,26231.458195739848,Master,Employed,0,New York
1041,51225.716364351356,Master,Employed,0,Los Angeles
1042,20696.00560068471,High School,Self-Employed,0,New York
1043,39746.63225396953,Bachelor,Unemployed,1,Los Angeles
1044,46939.69099114939,Bachelor,Employed,0,Los Angeles
1045,35680.76559946622,PhD,Self-Employed,1,New York
1046,29771.0513518555,Bachelor,Employed,0,New York
1047,18025.31352140919,Bachelor,Employed,0,Phoenix
1048,22299.336516217,High School,Self-Employed,0,Phoenix
1049,169447.97405948368,High School,Self-Employed,0,Los Angeles
1050,28575.30322461814,High School,Unemployed,0,New York
1051,171260.348020596,PhD,Employed,0,New York
1052,12396.747938669032,Bachelor,Employed,0,Los Angeles
1053,73842.82172521044,Bachelor,Self-Employed,1,Phoenix
1054,35319.39865579232,Bachelor,Employed,0,New York
1055,31575.35456525482,Master,Employed,0,Chicago
1056,38289.93191642853,High School,Employed,0,New York
1057,33204.111345449164,Bachelor,Employed,0,Phoenix
1058,44913.856144883604,Master,Employed,0,Los Angeles
1059,38291.49491809077,Master,Employed,0,Chicago
1060,33874.317938377695,Master,Self-Employed,1,Los Angeles
1061,31811.4199039319,PhD,Employed,0,Chicago
1062,45281.60067931483,Bachelor,Employed,0,New York
1063,33799.75884173516,Master,Employed,0,New York
1064,70097.87338164206,High School,Employed,0,Phoenix
1065,29685.855019419207,Master,Employed,0,Phoenix
1066,76435.54696218028,Master,Employed,0,Houston
1067,37808.030865604735,Master,Self-Employed,0,Chicago
1068,18929.765450304298,High School,Employed,0,Houston
1069,24066.86391361273,Bachelor,Unemployed,0,New York
1070,49708.290361478495,High School,Employed,0,Los Angeles
1071,26478.174648098426,PhD,Employed,0,Los Angeles
1072,16759.106250689085,PhD,Employed,0,Chicago
1073,53950.89870176117,Bachelor,Employed,0,Los Angeles
1074,82565.392599247,Bachelor,Self-Employed,0,New York
1075,38284.84142175555,Bachelor,Employed,0,Chicago
1076,34277.19467342086,Master,Employed,0,Houston
1077,35169.639008817365,Master,Self-Employed,0,Los Angeles
1078,66732.98976995681,Bachelor,Unemployed,0,New York
1079,44582.797579215374,High School,Self-Employed,0,New York
1080,24164.88898649923,Master,Employed,0,New York
1081,41863.47538330617,Master,Self-Employed,0,New York
1082,18177.43690357218,High School,Employed,0,Chicago
1083,42915.560096361376,High School,Employed,0,Chicago
1084,29260.347226664067,High School,Employed,1,Chicago
1085,44373.60917811914,Bachelor,Employed,0,Los Angeles
1086,33164.45122830788,High School,Employed,0,Houston
1087,46249.143069739024,High School,Employed,0,New York
1088,22724.198156015795,Master,Self-Employed,0,Los Angeles
1089,28799.028780936707,High School,Employed,1,Houston
1090,79764.30988020242,Master,Employed,0,New York
1091,55862.35566826833,Bachelor,Employed,1,New York
1092,21537.56204437598,High School,Unemployed,1,Houston
1093,30014.123272478457,Bachelor,Employed,1,Los Angeles
1094,19021.87832952541,Bachelor,Employed,0,Chicago
1095,88762.65580569666,Master,Self-Employed,0,New York
1096,39832.25730301504,PhD,Self-Employed,0,Chicago
1097,34165.06169535796,Bachelor,Employed,0,Los Angeles
1098,53394.47647039974,High School,Employed,0,New York
1099,71421.78157522476,Master,Self-Employed,0,Chicago
1100,88997.09551987046,Bachelor,Employed,0,New York
1101,47255.04659678353,High School,Employed,0,Los Angeles
1102,115453.13316749674,Master,Self-Employed,0,New York
1103,26834.113456091574,High School,Employed,0,New York
1104,173906.86729672665,Bachelor,Employed,0,New York
1105,59931.04624638378,Bachelor,Employed,0,New York
1106,64091.28148276855,Master,Employed,0,Phoenix
1107,56200.052887267775,High School,Employed,0,New York
1108,27792.650431236496,Bachelor,Self-Employed,0,Los Angeles
1109,59348.82636599191,Master,Employed,1,New York
1110,16394.28365357692,Bachelor,Employed,0,New York
1111,18143.456095820122,Master,Employed,0,Phoenix
1112,26620.876714222733,Bachelor,Employed,0,New York
